ticker,date,open,high,low,close,volume,closeadjusted
IDTL.UK,7/09/2015,4.0542,4.063,4.0542,4.063,42684,4.063
IDTL.UK,8/09/2015,4.0035,4.0083,4.0035,4.0083,1588909,4.0083
IDTL.UK,9/09/2015,3.9814,3.9957,3.9749,3.9879,824430,3.9879
IDTL.UK,10/09/2015,4.0028,4.0028,4.0018,4.0018,12760,4.0018
IDTL.UK,11/09/2015,4.0359,4.0359,4.0281,4.0281,50334,4.0281
IDTL.UK,14/09/2015,4.0324,4.0324,4.0294,4.0294,38411,4.0294
IDTL.UK,15/09/2015,3.9848,3.9931,3.9848,3.9931,33583,3.9931
IDTL.UK,16/09/2015,3.959,3.959,3.959,3.959,3072,3.959
IDTL.UK,17/09/2015,3.937,3.937,3.937,3.937,1293,3.937
IDTL.UK,18/09/2015,4.014,4.014,4.014,4.014,25560,4.014
IDTL.UK,21/09/2015,4.0236,4.0236,4.0236,4.0236,25560,4.0236
IDTL.UK,22/09/2015,4.0098,4.0098,4.0098,4.0098,11294,4.0098
IDTL.UK,23/09/2015,4.0227,4.0245,4.0227,4.0245,6208,4.0245
IDTL.UK,24/09/2015,4.0384,4.0839,4.0384,4.0839,169459,4.0839
IDTL.UK,25/09/2015,4.0245,4.0542,4.0245,4.0542,31128,4.0542
IDTL.UK,28/09/2015,4.0517,4.1067,4.0456,4.0717,73376,4.0717
IDTL.UK,29/09/2015,4.0998,4.0998,4.0998,4.0998,23595,4.0998
IDTL.UK,30/09/2015,4.0779,4.0857,4.0456,4.0857,867564,4.0857
IDTL.UK,1/10/2015,4.1067,4.1067,4.1067,4.1067,3551,4.1067
IDTL.UK,2/10/2015,4.2344,4.2344,4.1582,4.1582,30317,4.1582
IDTL.UK,5/10/2015,4.1346,4.1346,4.0892,4.0892,38180,4.0892
IDTL.UK,6/10/2015,4.0831,4.0831,4.0367,4.0367,44735,4.0367
IDTL.UK,7/10/2015,4.077,4.1241,4.0673,4.1241,39579,4.1241
IDTL.UK,8/10/2015,4.0951,4.0951,4.077,4.077,1118124,4.077
